epoch,open_ETH/BTC_paper,high_ETH/BTC_paper,low_ETH/BTC_paper,close_ETH/BTC_paper,volume_ETH/BTC_paper,utc
1515589200,0.095582,0.09685,0.095482,0.0959,5642.617,2018-01-10 13:00:00
1515591000,0.095899,0.09663,0.095869,0.096355,8870.994,2018-01-10 13:30:00
1515592800,0.096355,0.097696,0.096167,0.096579,8929.138,2018-01-10 14:00:00
1515594600,0.096579,0.097001,0.095,0.09646,9865.679,2018-01-10 14:30:00
1515596400,0.09638,0.098,0.095549,0.095899,11076.319,2018-01-10 15:00:00
1515598200,0.095903,0.09661,0.093417,0.09379,13134.022,2018-01-10 15:30:00
1515600000,0.093784,0.09415,0.092,0.092223,13250.345,2018-01-10 16:00:00
1515601800,0.09213,0.092683,0.090259,0.091738,10525.8,2018-01-10 16:30:00
1515603600,0.09171,0.0935,0.091118,0.0933,6759.819,2018-01-10 17:00:00
1515605400,0.0933,0.094,0.091,0.091419,6690.124,2018-01-10 17:30:00
1515607200,0.091419,0.09197,0.0895,0.089977,8834.981,2018-01-10 18:00:00
1515609000,0.089977,0.090164,0.088331,0.0885,6236.924,2018-01-10 18:30:00
1515610800,0.088536,0.089022,0.08841,0.08861,5563.89,2018-01-10 19:00:00
1515612600,0.088637,0.09099,0.088502,0.090945,6753.646,2018-01-10 19:30:00
1515614400,0.090814,0.09141,0.090078,0.09012,6086.654,2018-01-10 20:00:00
1515616200,0.090106,0.090199,0.08888,0.089488,6886.113,2018-01-10 20:30:00
1515618000,0.089487,0.091172,0.087,0.090146,7076.566,2018-01-10 21:00:00
1515619800,0.090146,0.090146,0.087,0.087186,8721.825,2018-01-10 21:30:00
1515621600,0.087182,0.087244,0.0845,0.086521,11784.458,2018-01-10 22:00:00
1515623400,0.086335,0.08691,0.084006,0.084918,10931.847,2018-01-10 22:30:00
1515625200,0.084824,0.086143,0.0841,0.0841,7500.989,2018-01-10 23:00:00
1515627000,0.084101,0.084553,0.08282,0.083884,9233.402,2018-01-10 23:30:00
1515628800,0.083881,0.088117,0.082987,0.088003,9664.67,2018-01-11 00:00:00
1515630600,0.088097,0.091699,0.08795,0.091497,9052.761,2018-01-11 00:30:00
1515632400,0.091498,0.091699,0.088116,0.0896,8794.998,2018-01-11 01:00:00
1515634200,0.089546,0.090227,0.089256,0.08982,5096.146,2018-01-11 01:30:00
1515636000,0.08982,0.0907,0.089345,0.090516,3925.354,2018-01-11 02:00:00
1515637800,0.090516,0.0917,0.090351,0.091323,4911.06,2018-01-11 02:30:00
1515639600,0.091323,0.092004,0.09,0.091714,8802.505,2018-01-11 03:00:00
1515641400,0.091715,0.091926,0.087007,0.089746,15639.651,2018-01-11 03:30:00
1515643200,0.089656,0.091573,0.0879,0.08963,17841.285,2018-01-11 04:00:00
1515645000,0.08969,0.090487,0.087163,0.089693,19659.408,2018-01-11 04:30:00
1515646800,0.089693,0.092216,0.089421,0.090225,11290.229,2018-01-11 05:00:00
1515648600,0.090161,0.090399,0.088011,0.08862,8533.303,2018-01-11 05:30:00
1515650400,0.088523,0.09038,0.0878,0.08852,7483.889,2018-01-11 06:00:00
1515652200,0.088599,0.089999,0.08853,0.089744,6678.666,2018-01-11 06:30:00
1515654000,0.089699,0.0908,0.088689,0.090371,6361.55,2018-01-11 07:00:00
1515655800,0.090197,0.09108,0.089741,0.090933,6733.02,2018-01-11 07:30:00
1515657600,0.09089,0.09124,0.09,0.090019,7203.606,2018-01-11 08:00:00
1515659400,0.090019,0.090286,0.089294,0.090053,7685.29,2018-01-11 08:30:00
1515661200,0.089954,0.090515,0.089954,0.090319,4627.759,2018-01-11 09:00:00
1515663000,0.090406,0.09104,0.090257,0.090839,5177.445,2018-01-11 09:30:00
1515664800,0.090839,0.090866,0.089884,0.090111,4717.678,2018-01-11 10:00:00
1515666600,0.090112,0.090322,0.089009,0.08922,5058.767,2018-01-11 10:30:00
1515668400,0.089355,0.089618,0.087712,0.0878,7604.345,2018-01-11 11:00:00
1515670200,0.087888,0.090108,0.087261,0.08887,6905.337,2018-01-11 11:30:00
1515672000,0.08887,0.0889,0.0877,0.087999,6067.59,2018-01-11 12:00:00
1515673800,0.088027,0.088299,0.08714,0.087473,5546.526,2018-01-11 12:30:00
1515675600,0.087473,0.087638,0.08622,0.086501,6516.404,2018-01-11 13:00:00
1515677400,0.086628,0.0874,0.086201,0.087279,7490.104,2018-01-11 13:30:00
1515679200,0.087191,0.088643,0.087191,0.087639,9772.702,2018-01-11 14:00:00
1515681000,0.087639,0.088208,0.0857,0.08603,15265.458,2018-01-11 14:30:00
1515682800,0.086147,0.087548,0.085714,0.087302,14748.316,2018-01-11 15:00:00
1515684600,0.087302,0.088,0.086977,0.087572,8946.79,2018-01-11 15:30:00
1515686400,0.087571,0.087656,0.0865,0.087425,7578.337,2018-01-11 16:00:00
1515688200,0.087425,0.088344,0.087308,0.088153,6488.935,2018-01-11 16:30:00
1515690000,0.088153,0.089012,0.088053,0.088882,7910.155,2018-01-11 17:00:00
1515691800,0.088766,0.08952,0.088726,0.089346,6388.744,2018-01-11 17:30:00
1515693600,0.089345,0.08952,0.089172,0.089287,7204.211,2018-01-11 18:00:00
1515695400,0.089172,0.089429,0.088681,0.089122,5914.316,2018-01-11 18:30:00
1515697200,0.089122,0.089174,0.087658,0.087668,8253.628,2018-01-11 19:00:00
1515699000,0.08778,0.088537,0.087462,0.087639,7264.092,2018-01-11 19:30:00
1515700800,0.087723,0.087988,0.087268,0.08787,4309.324,2018-01-11 20:00:00
1515702600,0.087871,0.088382,0.087712,0.088062,4374.861,2018-01-11 20:30:00
1515704400,0.088167,0.088199,0.087477,0.087803,4022.486,2018-01-11 21:00:00
1515706200,0.087912,0.08823,0.087164,0.087594,4851.454,2018-01-11 21:30:00
1515708000,0.087589,0.08808,0.087262,0.087989,5223.535,2018-01-11 22:00:00
1515709800,0.087989,0.088199,0.086,0.086864,8658.104,2018-01-11 22:30:00
1515711600,0.086864,0.086945,0.085498,0.086047,7064.409,2018-01-11 23:00:00
1515713400,0.086046,0.086047,0.085859,0.08597,5216.152,2018-01-11 23:30:00
